id,shape,price,carat,cut,color,clarity,report,type
10086429,10,400,0.3,3,1,1,1,2
10016334,3,400,0.31,4,2,2,1,2
9947216,3,400,0.3,4,2,3,1,2
10083437,10,400,0.3,4,2,1,1,2
9946136,3,400,0.3,4,2,2,1,2
10070154,3,410,0.31,4,6,1,1,2
10086507,10,410,0.3,4,1,1,1,2
10083288,10,410,0.3,3,1,1,1,2
10090935,5,410,0.3,4,1,3,1,2
9943628,3,410,0.31,4,2,6,1,2
10055476,10,410,0.3,4,1,2,1,2
10086105,10,410,0.3,3,1,1,1,2
10082791,10,410,0.3,3,2,1,1,2
10084879,10,410,0.3,3,1,1,1,2
10087558,10,410,0.3,3,1,1,1,2
9998192,3,410,0.3,4,2,3,1,2
10083170,10,410,0.3,3,1,2,1,2
10084818,10,410,0.3,3,1,1,1,2
10048801,3,410,0.3,4,6,1,1,2
10018558,3,410,0.3,3,1,4,1,2
10087239,10,410,0.3,3,5,1,1,2
9926525,8,420,0.3,4,4,1,1,2
10085677,10,420,0.33,5,1,1,1,2
10078896,10,420,0.3,3,2,1,1,2
9926562,7,420,0.3,4,2,2,1,2
10084000,10,420,0.3,3,1,1,1,2
10083255,10,420,0.38,3,1,2,1,2
9968964,3,420,0.3,4,1,4,1,2
10086394,10,420,0.3,5,2,1,1,2
9943656,3,420,0.3,4,2,2,1,2
10085531,10,420,0.3,3,1,1,1,2
10085242,10,420,0.33,3,2,1,1,2
10017664,8,420,0.32,4,1,1,1,2
10018977,7,420,0.3,4,2,2,1,2
9997898,5,420,0.3,2,5,2,1,2
10083855,10,420,0.3,3,1,2,1,2
10085658,10,420,0.3,4,2,2,1,2
9946103,3,420,0.3,4,5,1,1,2
10088017,3,420,0.33,4,1,2,1,2
9944355,3,420,0.3,3,4,2,1,2
9944542,3,420,0.3,5,1,4,1,2
9946958,3,420,0.3,4,5,1,1,2
9947491,3,420,0.3,4,5,1,1,2
10084951,10,420,0.3,3,1,2,1,2
9967595,3,420,0.3,4,1,3,1,2
9946002,3,430,0.3,4,3,2,1,2
10010529,3,430,0.3,4,5,1,1,2
10083303,10,430,0.31,5,2,2,1,2
10086230,10,430,0.3,3,2,2,1,2
10082181,10,430,0.3,5,2,1,1,2
10082715,10,430,0.3,4,4,1,1,2
10086414,10,430,0.3,3,1,3,1,2
10021869,3,430,0.3,4,5,1,1,2
10082854,10,430,0.31,5,2,1,1,2
10017659,8,430,0.3,4,6,2,1,2
10021227,10,430,0.3,5,2,2,1,2
10085576,10,430,0.3,5,1,2,1,2
10086541,10,430,0.3,5,1,2,1,2
10086607,10,430,0.3,4,2,2,1,2
10083440,10,430,0.3,5,2,1,1,2
10081905,10,430,0.3,4,1,1,1,2
10083628,10,430,0.3,5,2,1,1,2
10084616,10,430,0.3,3,1,1,1,2
10085191,10,430,0.3,4,1,1,1,2
10086398,10,430,0.32,5,1,1,1,2
10069564,7,430,0.3,2,2,3,1,2
10085647,10,430,0.32,5,1,2,1,2
9943802,3,430,0.3,4,5,1,1,2
10086613,10,430,0.3,3,2,1,1,2
10017866,3,430,0.3,4,5,2,1,2
10035452,10,430,0.3,3,2,2,1,2
9981968,5,430,0.33,4,2,2,1,2
9946479,3,430,0.3,4,5,1,1,2
10061364,5,430,0.3,4,5,1,1,2
10082500,10,430,0.3,5,1,2,1,2
10053036,3,440,0.31,4,7,1,1,2
9989482,3,440,0.3,3,5,2,1,2
10086205,10,440,0.31,4,2,3,1,2
10082162,10,440,0.3,4,1,3,1,2
10084578,10,440,0.3,5,1,2,1,2
10086346,10,440,0.3,3,1,2,1,2
10091308,7,440,0.3,4,2,2,1,2
9928413,8,440,0.3,5,2,2,1,2
9990986,3,440,0.3,5,4,1,1,2
10073135,10,440,0.3,2,3,1,1,2
10086324,10,440,0.31,4,2,3,1,2
10082566,10,440,0.3,3,5,1,1,2
10082795,10,440,0.3,4,3,1,1,2
10083928,10,440,0.3,3,1,2,1,2
10083162,10,440,0.3,4,2,1,1,2
10084180,10,440,0.3,5,3,1,1,2
10080402,10,440,0.3,2,2,3,1,2
10048724,3,440,0.3,4,5,2,1,2
9909069,10,440,0.3,2,3,2,1,2
10000634,10,440,0.3,3,2,3,1,2
10083476,10,440,0.3,5,2,3,1,2
10084896,10,440,0.3,5,2,2,1,2
10086764,10,440,0.3,5,2,1,1,2
10082433,10,440,0.3,3,2,2,1,2
10083849,10,440,0.3,5,1,1,1,2
9968988,3,440,0.3,3,5,2,1,2
9957272,3,440,0.3,4,4,2,1,2
10010687,8,440,0.3,4,2,4,1,2
10086104,10,440,0.3,3,4,1,1,2
10084788,10,440,0.33,4,1,2,1,2
10082121,10,440,0.3,4,5,1,1,2
10085645,10,440,0.3,3,1,3,1,2
9973964,7,440,0.3,4,1,3,1,2
10086243,10,440,0.3,5,1,1,1,2
10090742,3,440,0.31,4,1,4,1,2
9943254,3,450,0.3,4,6,1,1,2
9926324,5,450,0.31,4,2,3,1,2
9998051,3,450,0.3,4,2,4,1,2
9926330,5,450,0.3,3,5,2,1,2
10083105,10,450,0.32,5,1,3,1,2
10086464,10,450,0.3,5,1,3,1,2
10082707,10,450,0.3,3,5,1,1,2
10083633,10,450,0.31,5,1,3,1,2
10083837,10,450,0.3,3,6,1,1,2
10082919,10,450,0.3,4,1,1,1,2
10082558,10,450,0.3,3,2,2,1,2
9928575,8,450,0.3,4,1,6,1,2
9946466,3,450,0.3,4,6,1,1,2
10061044,3,450,0.3,5,2,3,1,2
10061739,10,450,0.3,3,1,3,1,2
10084607,10,450,0.3,3,3,2,1,2
10082925,10,450,0.31,4,2,3,1,2
10084382,10,450,0.3,3,6,1,1,2
10082044,10,450,0.3,5,2,3,1,2
10082670,10,450,0.31,5,5,1,1,2
10086257,10,450,0.3,3,1,2,1,2
10082830,10,450,0.3,5,1,2,1,2
10083103,10,450,0.3,5,1,2,1,2
10022198,7,450,0.3,3,2,4,1,2
9927934,7,450,0.3,4,2,2,1,2
10027538,10,450,0.31,5,1,1,1,2
10063065,10,450,0.3,4,1,2,1,2
10061039,7,450,0.33,4,2,2,1,2
10010990,3,450,0.32,4,2,2,1,2
10083605,10,450,0.3,4,1,1,1,2
10082891,10,450,0.3,5,2,1,1,2
10083439,10,450,0.31,4,1,6,1,2
10086601,10,450,0.3,5,1,1,1,2
10086748,10,450,0.3,5,2,2,1,2
10084980,10,450,0.3,5,2,2,1,2
10084285,10,450,0.3,3,1,2,1,2
10086206,10,450,0.3,3,1,1,1,2
10085674,10,450,0.3,4,6,1,1,2
10086650,10,450,0.3,3,2,1,1,2
10086497,10,450,0.3,4,1,2,1,2
10086426,10,450,0.3,4,1,1,1,2
10083097,10,450,0.3,4,2,1,1,2
9947097,3,450,0.3,4,2,5,1,2
10079247,3,450,0.3,4,2,6,1,2
10022703,3,450,0.3,4,4,2,1,2
9947688,3,450,0.34,4,3,2,1,2
10001730,3,450,0.3,4,2,4,1,2
9926827,5,450,0.3,4,4,2,1,2
9964206,3,450,0.3,4,2,2,1,2
10085768,10,450,0.3,3,2,2,1,2
10083553,10,450,0.3,4,1,4,1,2
10085650,10,450,0.33,5,1,2,1,2
10085263,10,450,0.3,3,2,2,1,2
10083491,10,450,0.32,4,2,3,1,2
10082913,10,450,0.3,5,1,1,1,2
10084613,10,450,0.3,3,3,2,1,2
10085086,10,450,0.3,3,2,1,1,2
10085338,10,450,0.3,5,1,4,1,2
10082730,10,450,0.3,4,2,2,1,2
10082136,10,450,0.3,3,1,2,1,2
9968560,3,450,0.3,3,4,2,1,2
9927219,7,450,0.3,4,3,2,1,2
10027789,3,450,0.32,4,2,2,1,2
9946196,3,450,0.3,4,2,4,1,2
10085851,10,450,0.31,5,2,2,1,2
10084376,10,450,0.31,5,3,2,1,2
10082545,10,450,0.31,5,3,1,1,2
10082991,10,450,0.3,3,5,1,1,2
10086362,10,450,0.3,5,2,1,1,2
10084464,10,450,0.34,5,1,1,1,2
10082844,10,450,0.33,4,2,1,1,2
10086234,10,450,0.31,3,1,1,1,2
9972704,3,450,0.3,5,5,1,1,2
9878088,8,460,0.3,4,3,3,1,2
9947648,3,460,0.3,4,4,2,1,2
10063113,7,460,0.3,4,1,5,1,2
9964074,10,460,0.3,4,1,2,1,2
10083205,10,460,0.31,5,3,2,1,2
10086554,10,460,0.31,3,3,2,1,2
10087220,10,460,0.32,5,3,1,1,2
10086626,10,460,0.3,5,1,1,1,2
10086614,10,460,0.3,3,4,1,1,2
10082466,10,460,0.3,3,1,4,1,2
9927875,7,460,0.3,4,2,4,1,2
9928538,8,460,0.3,4,5,1,1,2
9981984,10,460,0.3,4,1,2,1,2
10028167,3,460,0.3,4,7,1,1,2
9926638,5,460,0.3,3,2,6,1,2
10063014,10,460,0.3,3,1,3,1,2
10065765,3,460,0.3,4,4,2,1,2
9947638,3,460,0.3,4,2,3,1,2
10000690,10,460,0.31,5,2,3,1,2
10083181,10,460,0.31,5,2,3,1,2
10081956,10,460,0.31,4,5,1,1,2
10083721,10,460,0.3,4,6,1,1,2
10084273,10,460,0.3,3,2,1,1,2
10081906,10,460,0.3,3,5,1,1,2
10082453,10,460,0.35,5,1,2,1,2
10086706,10,460,0.3,3,1,4,1,2
10016982,7,460,0.32,4,2,2,1,2
9997035,7,460,0.3,3,5,1,1,2
9927143,7,460,0.3,3,5,1,1,2
9943590,3,460,0.35,4,4,1,1,2
10000568,10,460,0.3,5,2,3,1,2
10082801,10,460,0.3,5,1,4,1,2
10083822,10,460,0.33,4,1,1,1,2
10085965,10,460,0.32,4,1,2,1,2
10086258,10,460,0.33,5,2,1,1,2
10085699,10,460,0.3,5,3,2,1,2
10088197,10,460,0.3,3,1,2,1,2
10001793,3,460,0.34,4,2,3,1,2
10069714,5,460,0.3,3,2,5,1,2
10082257,10,460,0.31,5,1,4,1,2
10086106,10,460,0.3,5,4,1,1,2
10085782,10,460,0.33,5,1,1,1,2
10086427,10,460,0.3,4,6,1,1,2
10086361,10,460,0.3,3,5,1,1,2
10082960,10,460,0.3,5,1,2,1,2
10082568,10,460,0.3,4,3,2,1,2
10082066,10,460,0.3,3,2,2,1,2
9972834,7,460,0.3,3,5,1,1,2
9829452,8,460,0.26,3,4,4,1,2
9943886,3,460,0.3,5,2,4,1,2
9964271,3,460,0.3,4,6,2,1,2
9945930,3,460,0.33,4,2,2,1,2
10000654,10,460,0.3,4,2,3,1,2
10086094,10,460,0.37,5,1,1,1,2
10084693,10,460,0.31,5,1,1,1,2
10083600,10,460,0.3,5,1,1,1,2
10082933,10,460,0.3,5,2,2,1,2
10083214,10,460,0.3,3,4,2,1,2
10086591,10,460,0.3,4,2,6,1,2
10086261,10,460,0.3,5,1,1,1,2
10086166,10,460,0.31,5,1,2,1,2
10081899,10,460,0.3,5,1,1,1,2
9878266,8,470,0.25,3,6,3,1,2
9927697,7,470,0.32,4,4,1,1,2
9928690,7,470,0.3,2,6,1,1,2
9944285,3,470,0.32,4,6,2,1,2
10027972,7,470,0.3,4,2,3,1,2
9947114,3,470,0.33,4,2,2,1,2
10082451,10,470,0.25,5,5,2,1,2
10085460,10,470,0.3,3,1,4,1,2
10086397,10,470,0.34,5,1,3,1,2
10086640,10,470,0.35,4,1,1,1,2
10085982,10,470,0.3,3,4,1,1,2
10085396,10,470,0.32,4,1,1,1,2
10083398,10,470,0.3,5,2,2,1,2
10083466,10,470,0.3,3,4,1,1,2
10048816,7,470,0.3,2,3,2,1,2
10022220,5,470,0.3,4,5,2,1,2
9877558,8,470,0.25,2,5,4,1,2
10028372,10,470,0.3,4,1,1,1,2
10067431,10,470,0.25,4,5,3,1,2
10046600,10,470,0.3,2,6,1,1,2
